"marker_type_id","drug_id"
"62","1"
"71","1"
"80","1"
"89","1"
"102","1"
"109","1"
"116","1"
"117","1"
"124","1"
"127","1"
"128","1"
"129","1"
"130","1"
"131","1"
"132","1"
"134","1"
"140","1"
"141","1"
"144","1"
"146","1"
"150","1"
"160","1"
"196","1"
"782","1"
"785","1"
"786","1"
"787","1"
"788","1"
"789","1"
"790","1"
"817","1"
"818","1"
"819","1"
"820","1"
"821","1"
"822","1"
"823","1"
"824","1"
"825","1"
"842","1"
"843","1"
"844","1"
"845","1"
"846","1"
"62","2"
"65","2"
"70","2"
"72","2"
"75","2"
"77","2"
"79","2"
"86","2"
"95","2"
"99","2"
"109","2"
"111","2"
"124","2"
"125","2"
"161","2"
"171","2"
"172","2"
"782","2"
"785","2"
"786","2"
"787","2"
"788","2"
"789","2"
"790","2"
"817","2"
"818","2"
"819","2"
"820","2"
"821","2"
"822","2"
"823","2"
"824","2"
"825","2"
"842","2"
"843","2"
"844","2"
"845","2"
"846","2"
"62","3"
"65","3"
"70","3"
"72","3"
"75","3"
"77","3"
"79","3"
"86","3"
"95","3"
"99","3"
"124","3"
"125","3"
"198","3"
"782","3"
"785","3"
"786","3"
"787","3"
"788","3"
"789","3"
"790","3"
"817","3"
"818","3"
"819","3"
"820","3"
"821","3"
"822","3"
"823","3"
"824","3"
"825","3"
"842","3"
"843","3"
"844","3"
"845","3"
"846","3"
"132","4"
"1","5"
"3","5"
"5","5"
"6","5"
"7","5"
"8","5"
"10","5"
"11","5"
"12","5"
"13","5"
"14","5"
"15","5"
"174","5"
"175","5"
"176","5"
"177","5"
"179","5"
"180","5"
"181","5"
"182","5"
"185","5"
"187","5"
"188","5"
"189","5"
"190","5"
"191","5"
"192","5"
"193","5"
"203","5"
"773","5"
"791","5"
"792","5"
"793","5"
"794","5"
"795","5"
"796","5"
"797","5"
"798","5"
"799","5"
"800","5"
"801","5"
"802","5"
"803","5"
"804","5"
"805","5"
"806","5"
"807","5"
"808","5"
"809","5"
"810","5"
"811","5"
"812","5"
"813","5"
"814","5"
"815","5"
"816","5"
"826","5"
"827","5"
"828","5"
"829","5"
"830","5"
"831","5"
"832","5"
"833","5"
"834","5"
"835","5"
"836","5"
"837","5"
"838","5"
"864","5"
"865","5"
"10","6"
"11","6"
"12","6"
"13","6"
"14","6"
"15","6"
"180","6"
"181","6"
"182","6"
"188","6"
"189","6"
"190","6"
"191","6"
"192","6"
"203","6"
"773","6"
"794","6"
"795","6"
"796","6"
"797","6"
"798","6"
"799","6"
"800","6"
"801","6"
"802","6"
"803","6"
"804","6"
"805","6"
"806","6"
"807","6"
"808","6"
"809","6"
"810","6"
"811","6"
"812","6"
"813","6"
"814","6"
"815","6"
"816","6"
"830","6"
"831","6"
"832","6"
"833","6"
"834","6"
"835","6"
"836","6"
"837","6"
"838","6"
"850","6"
"851","6"
"852","6"
"853","6"
"864","6"
"1","7"
"3","7"
"5","7"
"6","7"
"7","7"
"8","7"
"173","7"
"174","7"
"175","7"
"176","7"
"177","7"
"179","7"
"185","7"
"187","7"
"191","7"
"192","7"
"203","7"
"773","7"
"784","7"
"791","7"
"792","7"
"793","7"
"802","7"
"803","7"
"804","7"
"805","7"
"806","7"
"807","7"
"808","7"
"809","7"
"810","7"
"811","7"
"812","7"
"813","7"
"814","7"
"815","7"
"816","7"
"826","7"
"827","7"
"828","7"
"829","7"
"847","7"
"848","7"
"849","7"
"194","8"
"195","8"
"204","8"
"205","8"
"206","8"
"207","8"
"208","8"
"209","8"
"782","8"
"785","8"
"786","8"
"787","8"
"788","8"
"789","8"
"790","8"
"791","8"
"792","8"
"793","8"
"802","8"
"803","8"
"804","8"
"805","8"
"806","8"
"807","8"
"808","8"
"809","8"
"810","8"
"811","8"
"812","8"
"813","8"
"814","8"
"815","8"
"816","8"
"817","8"
"818","8"
"819","8"
"820","8"
"821","8"
"822","8"
"823","8"
"824","8"
"825","8"
"842","8"
"843","8"
"844","8"
"845","8"
"846","8"
"775","9"
"776","9"
"777","9"
"839","9"
"841","9"
"854","9"
"855","9"
"856","9"
"858","9"
"859","9"
"860","9"
"861","9"
"862","9"
"863","9"
"866","9"
"867","9"
"868","9"
"870","9"
"871","9"
"872","9"
"873","9"
"883","9"
